item_id,transaction_id,product_id,quantity,unit_price,discount,tax
1,8614,230,24,40.06,4.01,2.0
2,27535,91,19,109.49,10.95,5.47
3,23370,170,92,132.13,13.21,6.61
4,19903,292,0,9.63,0.96,0.48
5,15410,398,2,298.47,29.85,14.92
6,9874,498,57,85.45,8.54,4.27
7,29244,412,62,400.64,40.06,20.03
8,25222,455,1,0.0,0.0,0.0
9,21175,491,99,337.96,33.8,16.9
10,8556,160,13,112.78,11.28,5.64
11,17864,322,17,416.19,41.62,20.81
12,35656,96,1,21.92,2.19,1.1
13,12981,456,70,184.25,18.43,9.21
14,47461,191,17,158.55,15.86,7.93
15,22313,496,0,351.44,35.14,17.57
16,41191,173,73,211.61,21.16,10.58
17,34059,38,39,141.06,14.11,7.05
18,45370,459,1,13.34,1.33,0.67
19,19757,53,92,0.0,0.0,0.0
20,13195,143,68,358.83,35.88,17.94
21,35863,210,2,304.74,30.47,15.24
22,27630,298,99,275.41,27.54,13.77
23,4440,365,66,119.26,11.93,5.96
24,49665,441,30,294.92,29.49,14.75
25,19728,232,16,92.9,9.29,4.65
26,22800,457,40,459.15,45.91,22.96
27,30375,493,61,212.01,21.2,10.6
28,32817,33,86,84.49,8.45,4.22
29,16003,318,0,145.29,14.53,7.26
30,34851,100,80,82.86,8.29,4.14
31,12640,420,24,249.63,24.96,12.48
32,31670,456,66,184.25,18.43,9.21
33,42528,110,57,0.0,0.0,0.0
34,32304,354,0,62.91,6.29,3.15
35,825,2,16,163.47,16.35,8.17
36,936,205,58,110.68,11.07,5.53
37,32726,473,30,199.43,19.94,9.97
38,19361,383,77,272.47,27.25,13.62
39,44716,192,1,165.74,16.57,8.29
40,31704,84,13,157.02,15.7,7.85
41,38005,400,71,439.34,43.93,21.97
42,23436,475,16,404.75,40.48,20.24
43,31340,487,67,293.72,29.37,14.69
44,26362,130,73,194.01,19.4,9.7
45,28023,337,22,283.19,28.32,14.16
46,28251,312,79,214.28,21.43,10.71
47,34769,22,85,266.89,26.69,13.34
48,2530,83,25,138.61,13.86,6.93
49,41077,348,60,0.0,0.0,0.0
50,8889,98,33,226.79,22.68,11.34
51,13261,174,2,464.89,46.49,23.24
52,31458,498,85,85.45,8.54,4.27
53,1173,77,0,406.64,40.66,20.33
54,24055,302,1,136.69,13.67,6.83
55,237,15,66,31.79,3.18,1.59
56,34486,88,17,102.61,10.26,5.13
57,28747,322,92,416.19,41.62,20.81
58,30245,20,59,0.0,0.0,0.0
59,10186,115,10,0.0,0.0,0.0
60,36980,150,0,108.22,10.82,5.41
61,4621,231,15,382.61,38.26,19.13
62,29780,80,22,395.91,39.59,19.8
63,12843,106,0,33.38,3.34,1.67
64,6172,55,0,194.14,19.41,9.71
65,21682,308,92,115.26,11.53,5.76
66,43908,354,54,62.91,6.29,3.15
67,36599,348,64,0.0,0.0,0.0
68,590,84,7,157.02,15.7,7.85
69,33748,9,3,124.33,12.43,6.22
70,34931,419,2,0.0,0.0,0.0
71,32624,10,1,156.37,15.64,7.82
72,13541,277,70,398.95,39.9,19.95
73,40353,306,5,420.07,42.01,21.0
74,48895,37,2,416.79,41.68,20.84
75,11649,20,25,0.0,0.0,0.0
76,20235,179,1,292.93,29.29,14.65
77,17121,214,2,316.94,31.69,15.85
78,39626,466,74,368.73,36.87,18.44
79,48486,499,0,172.29,17.23,8.61
80,48906,246,61,308.48,30.85,15.42
81,35496,195,0,257.26,25.73,12.86
82,18021,240,2,23.76,2.38,1.19
83,42703,260,49,0.0,0.0,0.0
84,2895,17,7,421.43,42.14,21.07
85,41029,341,61,139.41,13.94,6.97
86,18444,489,1,475.57,47.56,23.78
87,27290,228,2,40.66,4.07,2.03
88,20134,222,2,316.46,31.65,15.82
89,30186,409,1,476.02,47.6,23.8
90,38235,370,66,0.0,0.0,0.0
91,12914,31,49,24.96,2.5,1.25
92,47662,91,65,109.49,10.95,5.47
93,5904,416,50,480.59,48.06,24.03
94,41615,100,96,82.86,8.29,4.14
95,536,301,13,302.57,30.26,15.13
96,3198,446,30,101.72,10.17,5.09
97,18242,296,2,425.79,42.58,21.29
98,26628,13,2,438.33,43.83,21.92
